"title","Unnamed..0","Release_Date","Developers","Summary","Platforms","Genres","Rating","Plays","Playing","Backlogs","Wishlist","Lists","Reviews","img","console","genre","publisher","developer","critic_score","total_sales","na_sales","jp_sales","pal_sales","other_sales","release_date","last_update"
"ALICE MADNESS RETURNS",747,"Jun 14, 2011","['Electronic Arts', 'Spicy Horse Games']","Return to Wonderland and experience an all new nightmare as Alice fights to regain her sanity as she fights for the truth behind her past. Can Alice save Wonderland - and herself - from the madness that consumes them both?","['Windows PC', 'Xbox 360', 'PlayStation 3']","['Adventure', 'Brawler', 'Platform', 'Puzzle', 'Quiz/Trivia']",3.6,"3.3K","129","1.4K","761","424","151","/games/boxart/full_alice-madness-returns_955AmericaFront.jpg","PS3","Adventure","Electronic Arts","Spicy Horse",6.7,0.59,0.22,0.04,0.24,0.08,"14-06-2011",""
"ALICE MADNESS RETURNS",747,"Jun 14, 2011","['Electronic Arts', 'Spicy Horse Games']","Return to Wonderland and experience an all new nightmare as Alice fights to regain her sanity as she fights for the truth behind her past. Can Alice save Wonderland - and herself - from the madness that consumes them both?","['Windows PC', 'Xbox 360', 'PlayStation 3']","['Adventure', 'Brawler', 'Platform', 'Puzzle', 'Quiz/Trivia']",3.6,"3.3K","129","1.4K","761","424","151","/games/boxart/full_alice-madness-returns_827AmericaFront.jpg","X360","Adventure","Electronic Arts","Spicy Horse",6.9,0.5,0.27,0.04,0.15,0.04,"14-06-2011",""
"ALIEN TRILOGY",5738,"Feb 01, 1996","['Probe Entertainment', 'Acclaim Entertainment']","Alien Trilogy takes many elements from Alien film series, such as face huggers, chest bursters, dog aliens, adult aliens, and Queen aliens. The video game consists of 30 levels and 3 Queen alien bosses. This video game is single player only and has several weapons to choose from.","['Sega Saturn', 'PlayStation', 'PC DOS']","['Shooter']",3.1,"191","1","108","37","75","7","/games/boxart/full_3433704AmericaFrontccc.jpg","PS","Shooter","Acclaim Entertainment","Probe Entertainment Limited",8,0.47,0.24,0.04,0.16,0.03,"01-09-1997",""
"ALONE IN THE DARK",3492,"Jun 20, 2008","['Atari', 'Hydravision Entertainment']","The game that started the popular survival horror genre returns better than ever! Players control Edward Carnby, the main character from the original Alone in the Dark, on a thrilling journey through a dark and terrifying re-creation of New York's Central Park where Carnby must discover the truth behind a dark conspiracy.
With inspiration from the presentation style of popular action TV dramas, Alone in the Dark will be split into a number of distinct episodes. With approximately 30-40 minutes of gameplay comprising each episode, the structure of Alone in the Dark pulls you into world that delivers a fiercely gripping and terrifying experience. Each time the player launches a saved game, the episode will begin with a video summary of the previous episode to quickly re-immerse the player in the story and removing the need to remember where they were or what they were doing. Every episode will close with a nail-biting cliff-hanger ending to rattle players' nerves, and if the player is leaving the game a video teaser of the next episode will play to leave them wanting more.
Alone in the Dark will provide a complete next-generation, action packed experience within a highly detailed, free roaming environment, featuring a mixture of real-time physics and full environmental interaction. The game will mark a new beginning for the Alone in the Dark series.
The PlayStation 3 version, titled Alone in the Dark: Inferno, was released in November 2008 and includes several enhancements from the other versions","['Windows PC', 'Xbox 360', 'Wii', 'PlayStation 2']","['Adventure', 'Puzzle', 'Shooter']",1.9,"705","7","213","112","97","27","/games/boxart/full_7279035AmericaFrontccc.jpg","X360","Adventure","Atari","Eden Studios",6.3,0.49,0.14,0,0.3,0.05,"23-06-2008",""
"ALONE IN THE DARK",3520,"Dec 31, 1992","['Krisalis Software', 'Infogrames']","A suspicious suicide. A chilling curse. A malevolent power. Finally, a wicked dark secret. This is Derceto, a legendary Louisiana mansion where, against your better judgment, you're drawn into a world of shadows to explore the darker side of Jeremy Hartwood's imagination.
Despite a paralyzing sense of personal danger, your quest for truth drives you to investigate the old house. But, you didn't know that, by entering Derceto, you'll be plunged into the daily nightmare that was Jeremy Hartwood's life. You weren't prepared for the torturous howls that resound from deep within its halls. You didn’t foresee the shadowy corridors that seemingly have no end. You couldn't anticipate the brooding, gloom-filled rooms, the pervasive weight of dread, the heavy sense of evil that gills the atmosphere and the very house itself.
Had you known, you might have refused this task. But alas, you accepted, and now you must make your way through this spine-tingling adventure alone... and in the dark.","['Mac', 'iOS', 'PC DOS', '3DO Interactive Multiplayer']","['Adventure', 'Puzzle']",3.2,"374","3","244","139","185","27","/games/boxart/full_7279035AmericaFrontccc.jpg","X360","Adventure","Atari","Eden Studios",6.3,0.49,0.14,0,0.3,0.05,"23-06-2008",""
"ANIMAL CROSSING AMIIBO FESTIVAL",4902,"Nov 12, 2015","['NDCube', 'Nintendo']","The Animal Crossing: amiibo Festival game is a brand-new way to play with your favorite Animal Crossing characters. Your amiibo figures are front-and-center in this party game, and you’ll get to use them with fun content. Bring to life an expansive and dynamic board game where the board is based on the months of the year like the core Animal Crossing series. The goal? Make your villager the happiest in town and party hard
with your friends.","['Wii U']","['Puzzle', 'Quiz/Trivia']",1.5,"507","3","73","28","95","44","/games/boxart/full_3794629AmericaFrontccc.png","WiiU","Party","Nintendo","Nd Cube Co., Ltd.",4.8,0.49,0.23,0.1,0.12,0.04,"13-11-2015","08-02-2018"
"APE ESCAPE",3872,"May 23, 2022","['Sony Interactive Entertainment']","Experience Ape Escape originally released on the PlayStation console, enhanced with up-rendering, rewind, quick save, and custom video filters.
Hunt down hundreds of cheeky chimps in the original Ape Escape adventure and collect loads of cool gadgets and tools, including a slingshot, monkey-net, sky-flying propeller, radio-controlled car, and monkey radar. Enjoy over 20 levels of madcap mayhem plus bonus mini-games including ski racing and Monkey Boxing.","['PlayStation 4', 'PlayStation 5']","['Adventure', 'Platform']",3.6,"106","9","41","18","27","23","/games/boxart/full_2046408AmericaFrontccc.jpg","PS","Platform","Sony Computer Entertainment","SCE Japan Studio",9.3,1.63,0.71,0.32,0.48,0.11,"31-05-1999","16-09-2018"
"APE ESCAPE",860,"May 31, 1999","['Sony Interactive Entertainment', 'Sony Computer Entertainment']","Ape Escape is a single-player 3D platformer released in 1999 for the Playstation. Using the analog stick, you must capture apes that have escaped throughout time to stop them from screwing up the fabric of time and space.","['PlayStation', 'PlayStation Portable']","['Platform']",3.8,"2.1K","46","791","402","486","157","/games/boxart/full_2046408AmericaFrontccc.jpg","PS","Platform","Sony Computer Entertainment","SCE Japan Studio",9.3,1.63,0.71,0.32,0.48,0.11,"31-05-1999","16-09-2018"
"APE ESCAPE 2",2668,"Jul 18, 2002","['SCE Japan Studio', 'Sony Computer Entertainment']","Ape Escape 2 is the sequel to Ape Escape. In this platform game it's your goal to catch all the apes jumping, walking and flying around the diverse levels the game has to offer.
A large arsenal of gadgets can be used to make it all a little easier, with the catching net being the most important weapons of them all. Other gadgets include a RC Car, to drive over monkey's and collect objects, an Ape Radar, to detect the nearest monkey, a baseball bat, to hit monkeys unconscious, and a magnet, to move certain objects in the maps.
Your quest is to catch all monkeys in the levels and to stop the evil Specter from taking over the world. All monkeys in the levels are somewhat unique with their own character abilities and their unique name. Some monkeys just sit on their place, while others attack you with projectiles or run away quickly.","['PlayStation 4', 'PlayStation 2']","['Adventure', 'Platform']",3.7,"1.2K","34","457","196","232","79","/games/boxart/810696ccc.jpg","PS2","Platform","Ubisoft","SCE Japan Studio",8,0.63,0.12,0.38,0.09,0.03,"30-06-2003","16-09-2018"
"APE ESCAPE ON THE LOOSE",5125,"May 22, 2005","['SIMS Co., Ltd', 'Sony Computer Entertainment America']","Based on the Ape Escape series, Ape Escape: On the Loose arrives on the PSP with multiplayer functionality and a variety of minigames. The new adventure begins when Specter--a monkey-turned-monster--and his army of monkeys travel back in time to change history and take over the world. Now it's up to you to pursue Specter and capture more than 200 monkeys in eight different worlds, which span more than 20 levels.","['PlayStation Portable']","['Adventure', 'Platform']",3.1,"184","1","74","36","34","8","/games/boxart/1204443ccc.jpg","PSP","Platform","Sony Computer Entertainment","SIMS",6.6,0.7,0.52,0.12,0.01,0.05,"22-03-2005",""
"APOLLO JUSTICE ACE ATTORNEY",641,"Apr 12, 2007","['Capcom']","Apollo Justice: Ace Attorney, released in Japan as Gyakuten Saiban 4, is the fourth video game in the Ace Attorney series.
Apollo Justice is the first game in the series that does not feature Phoenix Wright as the main protagonist, though it is not the first time a different attorney has been playable. The game is set in the year 2026, which is seven years after Phoenix Wright: Ace Attorney Trials and Tribulations. Phoenix Wright has been stripped of his attorney's badge, and Apollo Justice, an up-and-coming attorney, becomes his apprentice.","['Android', 'iOS', 'Nintendo DS', 'Nintendo 3DS']","['Adventure', 'Puzzle', 'RPG', 'Visual Novel']",3.8,"5.3K","142","1.4K","601","676","339","/games/boxart/full_5189307AmericaFrontccc.jpg","DS","Adventure","Capcom","Capcom",8,0.99,0.28,0.64,0.05,0.03,"19-02-2008",""
"AR TONELICO 2 MELODY OF METAFALICA",14985,"Oct 25, 2007","[]","","['PlayStation 2']","['RPG']",4.8,"16","1","36","23","8","0","/games/boxart/full_4605062AmericaFrontccc.jpg","PS2","Role-Playing","NIS America","Gust",7.2,0.18,0.04,0.11,0.03,0.01,"20-01-2009",""
"ARCANA HEART",5496,"Dec 22, 2006","['Atrativa']","A 2D fighter bursting with brawling anime-style beauties, for the PlayStation 2 computer entertainment system. These gorgeous fighters will make your jaw drop with their looks (or their fists).","['Arcade']","['Fighting']",3.2,"98","0","38","45","33","4","/games/boxart/full_204279AmericaFrontccc.jpg","PS2","Fighting","Atlus","Examu Inc.",8.1,0.16,0.06,0.04,0.05,0.02,"10-04-2008",""
"ARCANA HEART",5462,"Dec 22, 2006","['Atrativa']","A 2D fighter bursting with brawling anime-style beauties, for the PlayStation 2 computer entertainment system. These gorgeous fighters will make your jaw drop with their looks (or their fists).","['Arcade']","['Fighting']",3.2,"98","0","38","45","33","4","/games/boxart/full_204279AmericaFrontccc.jpg","PS2","Fighting","Atlus","Examu Inc.",8.1,0.16,0.06,0.04,0.05,0.02,"10-04-2008",""
"ARCANA HEART",29447,"Apr 10, 2003","['AQ Interactive', 'Yuki Enterprise']","Arcana Heart was released on PlayStation 2 in Japan by AQ Interactive, featuring the option of playing characters in their ""Original"" or ""Full"" modes, reflecting the original and patched versions of characters from the arcade original, while voice acting was also added to all story segments.","['PlayStation 2']","['Arcade']",3,"5","0","1","2","2","0","/games/boxart/full_204279AmericaFrontccc.jpg","PS2","Fighting","Atlus","Examu Inc.",8.1,0.16,0.06,0.04,0.05,0.02,"10-04-2008",""
"ARCANIA GOTHIC 4",7132,"Oct 12, 2010","['DreamCatcher Interactive', 'Spellbound Entertainment']","Arcania is a Fantasy Action game set in a rich world where an entire kingdom’s future is at stake Build your strength and learn the skills needed to become a hero as you challenge a mighty king and uncover his dark secrets. Travel through a land of different climate zones, abundant flora and fauna, subterranean vaults, and unique towns and castles where clouds darken the skies, weather effects such as wind and heavy rain influence an endlessly fascinating game world, day and night cycles, and a stunning display of light and shadow. As you battle the monsters and villains of the land and meet a host of unique characters, will you be able to right the King’s wrongdoings and, above all, what choices will lead you there?","['Windows PC', 'Xbox 360', 'Linux', 'PlayStation 4']","['RPG']",1.7,"149","0","58","24","13","4","/games/boxart/full_arcania-gothic-4_4AmericaFront.jpg","X360","Role-Playing","JoWood Productions","Spellbound Entertainment AG",6.2,0.09,0.04,0.01,0.04,0.01,"19-10-2010",""
"ARMORED CORE",843,"Jul 10, 1997","['Sony Computer Entertainment, Inc. (SCEI)', 'FromSoftware']","Armored Core (アーマード・コア Āmādo Koa) is a mecha video game released in 1997, the first in the Armored Core series. It is an action game played from third person perspective.","['PlayStation']","['Shooter', 'Simulator']",3.4,"691","46","499","287","251","103","/games/boxart/7474120ccc.jpg","PS","Simulation","Sony Computer Entertainment","From Software",7.2,0.41,0.13,0.16,0.09,0.03,"31-10-1997",""
"ARMORED CORE 4",1796,"Dec 21, 2006","['505 Games', 'FromSoftware']","Armored Core, the mech action game that defined the mech genre is back to take on next-generation platforms! Armored Core 4 reinvigorates the brand by offering an all-new storyline, new environments, and online capability. The 10th anniversary of the acclaimed franchise is punctuated with a leap to next-generation platforms that will ensure a new quality level in both gameplay and visual performance.","['Xbox 360', 'PlayStation 3']","['Fighting']",3.7,"318","24","308","200","121","30","/games/boxart/577148ccc.jpg","PS3","Simulation","Sega","From Software",6.6,0.2,0.09,0.09,0,0.01,"20-03-2007",""
"ARMORED CORE 4",1796,"Dec 21, 2006","['505 Games', 'FromSoftware']","Armored Core, the mech action game that defined the mech genre is back to take on next-generation platforms! Armored Core 4 reinvigorates the brand by offering an all-new storyline, new environments, and online capability. The 10th anniversary of the acclaimed franchise is punctuated with a leap to next-generation platforms that will ensure a new quality level in both gameplay and visual performance.","['Xbox 360', 'PlayStation 3']","['Fighting']",3.7,"318","24","308","200","121","30","/games/boxart/7120617ccc.jpg","X360","Simulation","Sega","From Software",6.5,0.25,0.19,0.03,0.01,0.02,"20-03-2007",""
"ARMORED CORE FOR ANSWER",1382,"Mar 19, 2008","['FromSoftware']","The 13th release in the franchise, Armored Core: for Answer is set ten years after Armored Core 4 and sees the largest machines in Armored Core yet called Arms Forts.","['Xbox 360', 'PlayStation 3']","['Shooter', 'Simulator']",4.2,"340","25","352","240","175","36","/games/boxart/full_6152273AmericaFrontccc.jpg","X360","Simulation","Ubisoft","From Software",6.5,0.15,0.06,0.07,0.01,0.01,"16-09-2008",""
"ARMORED CORE FOR ANSWER",1382,"Mar 19, 2008","['FromSoftware']","The 13th release in the franchise, Armored Core: for Answer is set ten years after Armored Core 4 and sees the largest machines in Armored Core yet called Arms Forts.","['Xbox 360', 'PlayStation 3']","['Shooter', 'Simulator']",4.2,"340","25","352","240","175","36","/games/boxart/full_9267091AmericaFrontccc.jpg","PS3","Simulation","Ubisoft","From Software",6.1,0.19,0.06,0.1,0.02,0.01,"16-09-2008",""
"ARMORED CORE MASTER OF ARENA",3258,"Feb 04, 1999","['Agetec', 'FromSoftware']","Behind the scenes in Isaac City, two corporations are embroiled in a vicious fight for control and supremacy over the general populace. During one of the most violent encounters between the corporations, a large number of innocent civilians are caught up in the chaos and perish. One survivor, a young man, loses his entire family. A few months later, the embittered survivor decides to take action and exact revenge; his target is the pilot of an AC. That pilot is simply known as ""Hustler One"", and he pilots the AC around which events on that tragic day played out. In order to discover more and track down his quarry, the young man seeks out recruitment with the Ravens' Nest. And so, another Raven enters the fold…","['PlayStation']","['Shooter']",3.8,"207","5","136","67","85","35","/games/boxart/6351588ccc.jpg","PS","Simulation","Agetec","From Software",7.2,0.26,0.07,0.13,0.05,0.02,"29-02-2000",""
"ARMORED CORE PROJECT PHANTASMA",2669,"Dec 04, 1997","['Agetec', 'FromSoftware']","A Raven operating out of Isaac City receives an unusual request. Not only is the request both vague and cryptic, stating simply: ""Infiltrate the underground urban complex, Amber Crown,"", but it also bypasses normal channels of communication and is sent directly to the Raven in question, without anyone else seeing the message. No sender name or corporate affiliation is mentioned, but the monetary reward promised is massive. Because of the amount, the mission will obviously be intensely dangerous, but Ravens aren't the type to shy away from any challenge. With interest piqued, the Raven climbs into the AC and heads toward Amber Crown.","['PlayStation']","['Adventure', 'Shooter']",3.3,"240","4","140","69","84","37","/games/boxart/8117562ccc.jpg","PS","Simulation","ASCII Entertainment","From Software",7.2,0.28,0.06,0.15,0.04,0.02,"30-09-1998",""
"ARMY OF TWO",2942,"Mar 04, 2008","['EA Montreal', 'Electronic Arts']","Army Of Two throws gamers into hot spots ripped from current day headlines where they will utilize unique two-man strategies and tactics while seamlessly transitioning between playing with intelligent Partner AI (PAI) and a live player. When one man is not enough, it will take an army of two to fight through war, political turmoil and a conspiracy so vast it threatens the entire world","['Xbox 360', 'PlayStation 3']","['Shooter', 'Tactical']",2.9,"1.2K","4","156","60","96","45","/games/boxart/8108434ccc.jpg","PS3","Shooter","Electronic Arts","EA Montreal",7.4,1.17,0.74,0.02,0.26,0.15,"07-03-2008","03-02-2018"
"ARMY OF TWO",2942,"Mar 04, 2008","['EA Montreal', 'Electronic Arts']","Army Of Two throws gamers into hot spots ripped from current day headlines where they will utilize unique two-man strategies and tactics while seamlessly transitioning between playing with intelligent Partner AI (PAI) and a live player. When one man is not enough, it will take an army of two to fight through war, political turmoil and a conspiracy so vast it threatens the entire world","['Xbox 360', 'PlayStation 3']","['Shooter', 'Tactical']",2.9,"1.2K","4","156","60","96","45","/games/boxart/full_7449241AmericaFrontccc.jpg","X360","Shooter","Electronic Arts","EA Montreal",6.7,1.64,1.09,0.02,0.37,0.16,"07-03-2008","03-02-2018"
"ARMY OF TWO THE 40TH DAY",3781,"Jan 08, 2010","['EA Montreal', 'Electronic Arts']","The wild boys of the SSC face hell again in this sequel to the hit third-person teamwork-based shooter. Army of Two: The 40th Day reunites Salem and Rios as they're forced to survive in a city under siege. The sequel includes more co-op moves for players to use at any time, which will allow for completely different strategies and options in battle, adding up to a bigger, more organic and immersive co-op experience.
The story of The 40th Day places Salem and Rios in the middle of Shanghai, China, as a disaster of epic proportions strikes the city. While they happen to be in the wrong place at the wrong time, they are the right men to react to the chaos. As they fight their way through ruined districts of the city, they discover more and more catastrophes are being orchestrated to devastate Shanghai piece by piece. It's up two Salem and Rios to uncover the secret of the 40th Day and survive the chaos.","['Xbox 360', 'PlayStation 3', 'PlayStation Portable']","['Shooter', 'Tactical']",3,"787","1","95","44","58","18","/games/boxart/full_6990388AmericaFrontccc.jpg","X360","Shooter","Electronic Arts","EA Montreal",7.1,0.99,0.65,0,0.24,0.09,"12-01-2010",""
"ARMY OF TWO THE 40TH DAY",3781,"Jan 08, 2010","['EA Montreal', 'Electronic Arts']","The wild boys of the SSC face hell again in this sequel to the hit third-person teamwork-based shooter. Army of Two: The 40th Day reunites Salem and Rios as they're forced to survive in a city under siege. The sequel includes more co-op moves for players to use at any time, which will allow for completely different strategies and options in battle, adding up to a bigger, more organic and immersive co-op experience.
The story of The 40th Day places Salem and Rios in the middle of Shanghai, China, as a disaster of epic proportions strikes the city. While they happen to be in the wrong place at the wrong time, they are the right men to react to the chaos. As they fight their way through ruined districts of the city, they discover more and more catastrophes are being orchestrated to devastate Shanghai piece by piece. It's up two Salem and Rios to uncover the secret of the 40th Day and survive the chaos.","['Xbox 360', 'PlayStation 3', 'PlayStation Portable']","['Shooter', 'Tactical']",3,"787","1","95","44","58","18","/games/boxart/full_4015554AmericaFrontccc.jpg","PS3","Shooter","Electronic Arts","EA Montreal",7.1,0.85,0.44,0.01,0.27,0.13,"12-01-2010",""
